"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.828507201E2,6.500975615E1,2.546983608E1,1.079736418E1,1.509999990E0,2.135000000E2,3.790092468E0,2.500000000E0
2.838506934E2,6.500974652E1,2.546981418E1,1.037414856E1,1.509999990E0,2.183000031E2,3.790092468E0,2.500000000E0
2.848506403E2,6.500973660E1,2.546979301E1,1.047327198E1,1.500000000E0,2.178999939E2,3.790092468E0,2.500000000E0
2.858506406E2,6.500972795E1,2.546976742E1,9.704413652E0,1.539999962E0,2.143999939E2,3.790092468E0,2.500000000E0
2.868506681E2,6.500971748E1,2.546974298E1,9.624459904E0,1.669999957E0,2.141999969E2,3.790092468E0,2.500000000E0
2.878505558E2,6.500970814E1,2.546971544E1,9.014171044E0,1.580000043E0,2.133999939E2,3.790092468E0,2.500000000E0
2.888507940E2,6.500969914E1,2.546969007E1,8.992993531E0,1.490000010E0,2.148000031E2,3.790092468E0,2.500000000E0
2.898499357E2,6.500969020E1,2.546966715E1,8.943984132E0,1.440000057E0,2.171999969E2,3.790092468E0,2.500000000E0
2.908501371E2,6.500968145E1,2.546964283E1,8.517227983E0,1.450000048E0,2.183999939E2,3.790092468E0,2.500000000E0
2.918502901E2,6.500967218E1,2.546962022E1,9.097735333E0,1.549999952E0,2.108999939E2,3.790092468E0,2.500000000E0
2.928508524E2,6.500966353E1,2.546959781E1,9.212239043E0,1.470000029E0,2.233999939E2,3.790092468E0,2.500000000E0
2.938503273E2,6.500965687E1,2.546956922E1,9.136922240E0,1.549999952E0,2.291999969E2,3.790092468E0,2.500000000E0
2.948500011E2,6.500964931E1,2.546954192E1,9.543783601E0,1.580000043E0,2.290000000E2,3.790092468E0,2.500000000E0
2.958506240E2,6.500964178E1,2.546951519E1,9.593650361E0,1.519999981E0,2.301999969E2,3.790092468E0,2.500000000E0
2.968499983E2,6.500963370E1,2.546948829E1,9.260277573E0,1.610000014E0,2.311999969E2,3.790092468E0,2.500000000E0
2.978503322E2,6.500962763E1,2.546945545E1,9.574974906E0,1.720000029E0,2.470000000E2,3.790092468E0,2.500000000E0
2.988502518E2,6.500962769E1,2.546941679E1,9.426290605E0,1.720000029E0,2.682999878E2,3.790092468E0,2.500000000E0
2.998504667E2,6.500963039E1,2.546936748E1,8.502641197E0,2.210000038E0,2.705000000E2,3.790092468E0,2.500000000E0
3.008505733E2,6.500962354E1,2.546929782E1,7.874282116E0,3.049999952E0,2.521999969E2,3.790092468E0,2.500000000E0
3.018500861E2,6.500960770E1,2.546923172E1,8.041580994E0,3.099999905E0,2.418000031E2,3.790092468E0,2.652029276E0
3.028499493E2,6.500959327E1,2.546916908E1,8.029253108E0,3.059999943E0,2.436000061E2,3.790092468E0,2.786276102E0
3.038498988E2,6.500958215E1,2.546910135E1,7.852311802E0,3.150000095E0,2.481000061E2,3.790092468E0,2.812500477E0
3.048508611E2,6.500957387E1,2.546903280E1,7.780105689E0,3.089999914E0,2.506000061E2,3.790092468E0,2.821482182E0
3.058500239E2,6.500956635E1,2.546896104E1,7.296827292E0,3.190000057E0,2.526999969E2,3.790092468E0,2.795256615E0
3.068506979E2,6.500956084E1,2.546888868E1,7.293955805E0,3.160000086E0,2.546999969E2,3.790092468E0,2.710683107E0
3.078506369E2,6.500955624E1,2.546881680E1,7.336311056E0,3.220000029E0,2.561000061E2,3.790092468E0,2.542334080E0
3.088506750E2,6.500955499E1,2.546874706E1,6.134951799E0,3.170000076E0,2.586000061E2,3.790092468E0,2.500000000E0
3.098505333E2,6.500955483E1,2.546867591E1,5.244566152E0,3.160000086E0,2.618999939E2,3.790092468E0,2.500000000E0
3.108505560E2,6.500955663E1,2.546860514E1,4.315117285E0,3.109999895E0,2.632000122E2,3.790092468E0,2.500000000E0
3.118505468E2,6.500955949E1,2.546853206E1,3.434495982E0,3.180000067E0,2.648999939E2,3.790092468E0,2.500000000E0
3.128506145E2,6.500956057E1,2.546846005E1,3.441387636E0,3.210000038E0,2.642999878E2,3.790092468E0,2.500000000E0
3.138506989E2,6.500955987E1,2.546838956E1,3.464698529E0,3.140000105E0,2.653999939E2,3.790092468E0,2.500000000E0
3.148499330E2,6.500956102E1,2.546832052E1,3.464449245E0,3.130000114E0,2.692000122E2,3.790092468E0,2.500000000E0
3.158499132E2,6.500956165E1,2.546825239E1,3.276028835E0,3.099999905E0,2.717999878E2,3.790092468E0,2.500000000E0
3.168508435E2,6.500956449E1,2.546818276E1,3.049643613E0,3.150000095E0,2.747000122E2,3.790092468E0,2.500000000E0
3.178507977E2,6.500956827E1,2.546811175E1,2.847488896E0,3.210000038E0,2.762999878E2,3.790092468E0,2.500000000E0
3.188499836E2,6.500957077E1,2.546803848E1,2.557504922E0,3.299999952E0,2.747999878E2,3.790092468E0,2.500000000E0
3.198507919E2,6.500957255E1,2.546796583E1,2.030460717E0,3.299999952E0,2.742000122E2,3.790092468E0,2.500000000E0
3.208499382E2,6.500957283E1,2.546788997E1,1.951720089E0,3.390000105E0,2.708999939E2,3.790092468E0,2.500000000E0
3.218498892E2,6.500956899E1,2.546781111E1,2.209955925E0,3.400000095E0,2.660000000E2,3.790092468E0,2.500000000E0
3.228507957E2,6.500956486E1,2.546773431E1,2.325735957E0,3.369999886E0,2.663999939E2,3.790092468E0,2.500000000E0
3.238498969E2,6.500956059E1,2.546765846E1,2.155017086E0,3.309999943E0,2.632999878E2,3.790092468E0,2.500000000E0
3.248505835E2,6.500955502E1,2.546758417E1,2.350631824E0,3.299999952E0,2.617999878E2,3.790092468E0,2.500000000E0
3.258501532E2,6.500954717E1,2.546750932E1,2.484846029E0,3.250000000E0,2.588999939E2,3.790092468E0,2.500000000E0
3.268499151E2,6.500953775E1,2.546743450E1,2.544048629E0,3.269999981E0,2.577999878E2,3.790092468E0,2.500000000E0
3.278507186E2,6.500952917E1,2.546736151E1,2.649759823E0,3.289999962E0,2.565000000E2,3.790092468E0,2.500000000E0
3.288503160E2,6.500952044E1,2.546729293E1,2.794411805E0,3.150000095E0,2.548000031E2,3.790092468E0,2.500000000E0
3.298508656E2,6.500951211E1,2.546722620E1,2.804115031E0,3.170000076E0,2.535000000E2,3.790092468E0,2.500000000E0
3.308507685E2,6.500950196E1,2.546715895E1,2.671851145E0,3.230000019E0,2.505000000E2,3.790092468E0,2.500000000E0
3.318505063E2,6.500949144E1,2.546709385E1,3.023962547E0,3.130000114E0,2.500000000E2,3.790092468E0,2.500000000E0
3.328504307E2,6.500948673E1,2.546703820E1,3.307041612E0,2.569999933E0,2.621000061E2,3.790092468E0,2.500000000E0
3.338499913E2,6.500949324E1,2.546698773E1,3.334867720E0,2.430000067E0,2.868999939E2,3.790092468E0,2.500000000E0
3.348499173E2,6.500950915E1,2.546695697E1,3.245076831E0,2.069999933E0,3.187000122E2,3.790092468E0,2.500000000E0
3.358504196E2,6.500953413E1,2.546695151E1,3.132396014E0,2.549999952E0,3.535000000E2,3.790092468E0,2.500000000E0
3.368503548E2,6.500956352E1,2.546696969E1,2.878113560E0,3.079999924E0,1.200000000E1,3.790092468E0,2.500000000E0
3.378502665E2,6.500959466E1,2.546699552E1,2.810415433E0,3.339999914E0,1.700000000E1,3.790092468E0,2.500000000E0
3.388502237E2,6.500961976E1,2.546703725E1,3.086897946E0,3.250000000E0,2.950000000E1,3.790092468E0,2.500000000E0
3.398500200E2,6.500964393E1,2.546708233E1,3.318337098E0,3.230000019E0,3.379999924E1,3.790092468E0,2.510472536E0
3.408508306E2,6.500966589E1,2.546712567E1,3.630892701E0,3.109999895E0,3.220000076E1,3.790092468E0,2.500000000E0
3.418508901E2,6.500969008E1,2.546716717E1,3.799648500E0,3.220000029E0,3.170000076E1,3.790092468E0,2.500000000E0
3.428499457E2,6.500971440E1,2.546720808E1,4.036458410E0,3.240000010E0,3.250000000E1,3.790092468E0,2.500000000E0
3.438499332E2,6.500974058E1,2.546724603E1,4.172498366E0,3.259999990E0,3.120000076E1,3.790092468E0,2.500000000E0
3.448501050E2,6.500976551E1,2.546728014E1,4.228338343E0,3.119999886E0,3.100000000E1,3.790092468E0,2.500000000E0
3.458502799E2,6.500979014E1,2.546731551E1,4.447386531E0,3.150000095E0,3.120000076E1,3.790092468E0,2.500000000E0
3.468500734E2,6.500981371E1,2.546735515E1,4.892936881E0,3.140000105E0,3.209999847E1,3.790092468E0,2.500000000E0
3.478500453E2,6.500983798E1,2.546739445E1,5.119309696E0,3.150000095E0,3.340000153E1,3.790092468E0,2.500000000E0
3.488500102E2,6.500986200E1,2.546743203E1,5.119547237E0,3.180000067E0,3.220000076E1,3.790092468E0,2.500000000E0
3.498499942E2,6.500988578E1,2.546747133E1,5.763339676E0,3.089999914E0,3.300000000E1,3.790092468E0,2.500000000E0
3.508506168E2,6.500990896E1,2.546750855E1,5.605923708E0,3.130000114E0,3.279999924E1,3.790092468E0,2.500000000E0
3.518508831E2,6.500993196E1,2.546754618E1,6.064291529E0,3.099999905E0,3.340000153E1,3.790092468E0,2.500000000E0
3.528500506E2,6.500995420E1,2.546758151E1,5.824661437E0,3.059999943E0,3.209999847E1,3.790092468E0,2.500000000E0
3.538508679E2,6.500997654E1,2.546761594E1,6.000314449E0,3.049999952E0,3.179999924E1,3.790092468E0,2.500000000E0
3.548503692E2,6.500999928E1,2.546765100E1,5.452944893E0,3.099999905E0,3.270000076E1,3.790092468E0,2.500000000E0
3.558502756E2,6.501002155E1,2.546768617E1,5.382504236E0,3.059999943E0,3.259999847E1,3.790092468E0,2.500000000E0
3.568500777E2,6.501004474E1,2.546771853E1,5.142690478E0,3.140000105E0,3.170000076E1,3.790092468E0,2.500000000E0
3.578504144E2,6.501006827E1,2.546775113E1,5.222822897E0,3.089999914E0,3.089999962E1,3.790092468E0,2.500000000E0
3.588504596E2,6.501009172E1,2.546778521E1,5.472205938E0,3.059999943E0,3.170000076E1,3.790092468E0,2.500000000E0
3.598505648E2,6.501011609E1,2.546782098E1,6.116181030E0,3.119999886E0,3.170000076E1,3.790092468E0,2.500000000E0
3.608503324E2,6.501014110E1,2.546785652E1,6.709923930E0,3.039999962E0,3.079999924E1,3.790092468E0,2.500000000E0
3.618505480E2,6.501016670E1,2.546789184E1,7.257524014E0,3.089999914E0,3.050000000E1,3.790092468E0,2.500000000E0
3.628501105E2,6.501019173E1,2.546792790E1,7.626779640E0,3.079999924E0,3.129999924E1,3.790092468E0,2.582349539E0
3.638499418E2,6.501021810E1,2.546796488E1,8.259340485E0,3.079999924E0,3.429999924E1,3.790092468E0,2.538332462E0
3.648503832E2,6.501024188E1,2.546800918E1,8.322566884E0,3.099999905E0,4.170000076E1,3.790092468E0,2.500000000E0
3.658504239E2,6.501026471E1,2.546805070E1,8.555715331E0,3.109999895E0,3.959999847E1,3.790092468E0,2.500000000E0
3.668505835E2,6.501028738E1,2.546808472E1,8.602278852E0,3.000000000E0,3.509999847E1,3.790092468E0,2.500000000E0
3.678504783E2,6.501031022E1,2.546811672E1,8.212013558E0,3.099999905E0,3.300000000E1,3.790092468E0,2.500000000E0
3.688505484E2,6.501033321E1,2.546814937E1,8.673310753E0,3.089999914E0,3.309999847E1,3.790092468E0,2.500000000E0
3.698505472E2,6.501035461E1,2.546817825E1,7.654261615E0,3.109999895E0,3.309999847E1,3.790092468E0,2.500000000E0
3.708505843E2,6.501037600E1,2.546820770E1,6.831318479E0,3.079999924E0,3.250000000E1,3.790092468E0,2.628848076E0
3.718505247E2,6.501039750E1,2.546823927E1,6.468824666E0,3.039999962E0,3.259999847E1,3.790092468E0,2.756700516E0
3.728507661E2,6.501042018E1,2.546826940E1,6.655341537E0,3.069999933E0,2.920000076E1,3.891265392E0,2.854117870E0
3.738508437E2,6.501044402E1,2.546829884E1,6.584350594E0,3.019999981E0,2.750000000E1,3.963978767E0,2.778066158E0
3.748502410E2,6.501046748E1,2.546833306E1,6.690972432E0,3.069999933E0,3.079999924E1,4.277522564E0,2.939106226E0
3.758506707E2,6.501048898E1,2.546837333E1,6.729846412E0,3.079999924E0,3.359999847E1,4.751317024E0,3.044885635E0
3.768506643E2,6.501050864E1,2.546841981E1,7.353804530E0,3.079999924E0,3.729999924E1,5.547344685E0,3.228697538E0
3.778503138E2,6.501053371E1,2.546844391E1,8.190405529E0,3.000000000E0,3.370000076E1,5.223610878E0,4.086284637E0
3.788506281E2,6.501056475E1,2.546845400E1,9.119837762E0,3.130000114E0,2.560000038E1,6.053831577E0,5.142592430E0
3.798506036E2,6.501059989E1,2.546844552E1,1.140491901E1,3.009999990E0,2.070000076E1,5.858080864E0,5.519895077E0
3.808506824E2,6.501062975E1,2.546845261E1,9.882813397E0,3.099999905E0,2.020000076E1,6.135457516E0,6.006511211E0
3.818508658E2,6.501064572E1,2.546845863E1,8.385798453E0,1.679999948E0,2.770000076E1,6.113471985E0,6.311969757E0
3.828501407E2,6.501066138E1,2.546846578E1,8.628224623E0,1.740000010E0,3.429999924E1,5.765919685E0,6.267647743E0
3.838501429E2,6.501068467E1,2.546847635E1,8.720379569E0,2.230000019E0,2.960000038E1,5.881959438E0,6.366089821E0
3.848504036E2,6.501070256E1,2.546848504E1,8.614416325E0,1.330000043E0,3.629999924E1,5.678996563E0,6.718492985E0
3.858502431E2,6.501072373E1,2.546851253E1,9.264739753E0,2.410000086E0,4.270000076E1,6.046953678E0,6.701748371E0
3.868503311E2,6.501074924E1,2.546855451E1,8.900108918E0,2.910000086E0,4.129999924E1,6.805386543E0,6.562088013E0
3.878499843E2,6.501077583E1,2.546860672E1,8.364213733E0,3.170000076E0,4.209999847E1,8.226996422E0,6.412414551E0
3.888502678E2,6.501080335E1,2.546866212E1,8.283396542E0,3.339999914E0,4.209999847E1,9.912699699E0,6.354792118E0
3.898500286E2,6.501083319E1,2.546872522E1,8.587588769E0,3.619999886E0,4.209999847E1,1.184030056E1,6.481758118E0
3.908500045E2,6.501085767E1,2.546878395E1,8.645322775E0,3.349999905E0,4.159999847E1,8.516172409E0,6.171683788E0
3.918499251E2,6.501088270E1,2.546884499E1,9.113457126E0,3.430000067E0,3.929999924E1,7.746693611E0,5.959279060E0
3.928499689E2,6.501090875E1,2.546889628E1,9.833970786E0,3.400000095E0,3.679999924E1,7.225933552E0,5.602366924E0
3.938505705E2,6.501093141E1,2.546894613E1,9.959820112E0,3.309999943E0,3.679999924E1,6.590293407E0,5.345746040E0
3.948504969E2,6.501094999E1,2.546899368E1,1.058499944E1,2.869999886E0,3.270000076E1,5.707880497E0,4.896940231E0
3.958507586E2,6.501096913E1,2.546903423E1,1.083365220E1,2.700000048E0,3.110000038E1,5.310179234E0,4.618655682E0
3.968504433E2,6.501098648E1,2.546908078E1,1.072799698E1,2.680000067E0,3.450000000E1,5.155703545E0,4.408288479E0
3.978506388E2,6.501099339E1,2.546915051E1,1.088144157E1,2.670000076E0,5.179999924E1,4.022595406E0,4.131997108E0
3.988508076E2,6.501099555E1,2.546921309E1,1.121762673E1,2.250000000E0,6.400000000E1,3.924663067E0,3.747975349E0
3.998507567E2,6.501099482E1,2.546927043E1,1.142209876E1,2.200000048E0,7.219999695E1,3.957990170E0,3.268593550E0
4.008506128E2,6.501097593E1,2.546934128E1,1.105882960E1,2.960000038E0,1.071999969E2,3.790092468E0,2.798669577E0
4.018500434E2,6.501094573E1,2.546940154E1,1.048621342E1,2.940000057E0,1.216999969E2,3.790092468E0,2.767179489E0
4.028506532E2,6.501091644E1,2.546945606E1,1.027022492E1,3.000000000E0,1.251999969E2,3.790092468E0,2.601253510E0
4.038508573E2,6.501089146E1,2.546951092E1,1.017349749E1,3.039999962E0,1.263000031E2,3.790092468E0,2.500000000E0
4.048499748E2,6.501086800E1,2.546956630E1,1.027855174E1,3.099999905E0,1.265000000E2,3.790092468E0,2.500000000E0
4.058499695E2,6.501084619E1,2.546962619E1,1.011718722E1,3.170000076E0,1.251999969E2,3.791448832E0,2.500000000E0
4.068504058E2,6.501082803E1,2.546968321E1,1.033069904E1,3.109999895E0,1.226999969E2,3.945375443E0,2.500000000E0
4.078508415E2,6.501080792E1,2.546974416E1,9.774436485E0,3.190000057E0,1.228000031E2,4.074655056E0,2.500000000E0
4.088503748E2,6.501078811E1,2.546980614E1,9.481357477E0,3.230000019E0,1.239000015E2,4.238186359E0,2.500000000E0
4.098506992E2,6.501076779E1,2.546985459E1,1.074052382E1,2.950000048E0,1.245999985E2,3.790092468E0,3.196083546E0
4.108507547E2,6.501074771E1,2.546991203E1,1.232946364E1,3.049999952E0,1.241999969E2,3.814323187E0,3.841191292E0
4.118503229E2,6.501073015E1,2.546997109E1,1.235956472E1,3.049999952E0,1.238000031E2,4.343897820E0,4.338933945E0
4.128502865E2,6.501071482E1,2.547003063E1,1.227095161E1,3.049999952E0,1.225000000E2,4.922485828E0,4.440056324E0
4.138502995E2,6.501069702E1,2.547008744E1,1.238869911E1,3.089999914E0,1.254000015E2,4.337316990E0,4.350238323E0
4.148500990E2,6.501067837E1,2.547014491E1,1.245584883E1,3.140000105E0,1.278000031E2,4.285179138E0,4.218568325E0
4.158500400E2,6.501066163E1,2.547020347E1,1.240184311E1,3.130000114E0,1.250000000E2,4.279638290E0,4.058482647E0
4.168500443E2,6.501064685E1,2.547026234E1,1.249163550E1,3.109999895E0,1.241999969E2,4.343157768E0,3.949469090E0
4.178502675E2,6.501063818E1,2.547029522E1,1.445624067E1,2.769999981E0,1.310000000E2,4.533952713E0,4.908523083E0
4.188500843E2,6.501062437E1,2.547033664E1,1.458167601E1,2.890000105E0,1.341000061E2,4.918177605E0,5.300737381E0
4.198507237E2,6.501061885E1,2.547038081E1,1.550160303E1,2.640000105E0,1.285000000E2,4.877407074E0,5.766166210E0
4.208507324E2,6.501061359E1,2.547042975E1,1.720943311E1,2.740000010E0,1.285000000E2,5.568439007E0,6.626702785E0
4.218501983E2,6.501060522E1,2.547047877E1,1.922622434E1,2.759999990E0,1.293000031E2,5.879890919E0,6.844415188E0
4.228499709E2,6.501059665E1,2.547053250E1,1.893417807E1,2.779999971E0,1.256999969E2,6.191507339E0,6.953313828E0
4.238503723E2,6.501058006E1,2.547057900E1,1.809989802E1,2.769999981E0,1.239000015E2,5.551359177E0,6.480144501E0
4.248502806E2,6.501056751E1,2.547062779E1,1.729936903E1,2.559999943E0,1.160999985E2,5.082742214E0,5.858987331E0
